country1_code,latitude_1,longitude_1,country2_code,latitude_2,longitude_2,incident_year,incidents_in_year,prediction,prediction_error
RUS,60.0000,100.0000,JPN,36.0000,138.0000,2020,25,25.01082280006755,0.010822800067550986
SAU,25.0000,45.0000,JPN,36.0000,138.0000,2018,1,1.5559414571439856,0.5559414571439856
RUS,60.0000,100.0000,MLI,17.0000,-4.0000,2020,11,13.652691875874275,2.6526918758742752
AFG,33.0000,65.0000,IND,20.0000,77.0000,2020,2,2.011413908711127,0.011413908711126908
AFG,33.0000,65.0000,PAK,30.0000,70.0000,2020,3,2.3384257273161877,0.6615742726838123
ARG,-34.0000,-64.0000,CAN,60.0000,-95.0000,2018,1,0.17685080229285965,0.8231491977071403
RUS,60.0000,100.0000,ALB,41.0000,20.0000,2015,2,1.0045955018709467,0.9954044981290533
CHN,35.0000,105.0000,NOR,62.0000,10.0000,2012,1,1.7501924530895625,0.7501924530895625
USA,38.0000,-97.0000,AUS,-27.0000,133.0000,2020,2,3.109264617788291,1.1092646177882912
USA,38.0000,-97.0000,BEL,50.8333,4.0000,2020,1,3.2488060088545714,2.2488060088545714
USA,38.0000,-97.0000,CHN,35.0000,105.0000,2020,1,2.426502725088705,1.4265027250887048
USA,38.0000,-97.0000,EST,59.0000,26.0000,2020,2,2.9514705000894295,0.9514705000894295
USA,38.0000,-97.0000,FRA,46.0000,2.0000,2020,2,3.6564407528753606,1.6564407528753606
USA,38.0000,-97.0000,BLR,53.0000,28.0000,2014,1,0.7942549441632316,0.2057450558367684
USA,38.0000,-97.0000,IND,20.0000,77.0000,2020,2,3.936218123216077,1.9362181232160771
USA,38.0000,-97.0000,ISR,31.5000,34.7500,2020,2,4.252768518522478,2.252768518522478
USA,38.0000,-97.0000,ITA,42.8333,12.8333,2020,2,3.7104873509538017,1.7104873509538017
USA,38.0000,-97.0000,JPN,36.0000,138.0000,2020,5,3.944180036725734,1.0558199632742662
USA,38.0000,-97.0000,PER,-10.0000,-76.0000,2020,1,1.6391836226058256,0.6391836226058256
USA,38.0000,-97.0000,ZAF,-29.0000,24.0000,2020,1,1.8992453030913046,0.8992453030913046
CHN,35.0000,105.0000,AUS,-27.0000,133.0000,2020,13,8.690948276965324,4.309051723034676
CHN,35.0000,105.0000,DEU,51.0000,9.0000,2020,8,9.511552337559332,1.5115523375593316
CHN,35.0000,105.0000,ESP,40.0000,-4.0000,2020,6,5.828425970529216,0.1715740294707837
ARG,-34.0000,-64.0000,JPN,36.0000,138.0000,2018,1,0.14118986871303907,0.8588101312869609
CHN,35.0000,105.0000,FRA,46.0000,2.0000,2020,10,9.113484677057635,0.8865153229423655
